"Group.1"	"year"	"rgdpe"	"rgdpo"	"rkna"	"wagee"	"wageo"	"rconna"	"profite"	"profito"	"teste"	"testo"	"psharee"	"pshareo"	"kprode"	"kprodo"	"exploite"	"exploito"	"pratee"	"prateo"	"wsharee"	"wshareo"
"21"	1970	328990	15422356.9302302	15124958.1532788	40758447.2363117	9426526.68560747	9168636.95153653	12583944.4861756	5995830.24462273	5956321.20174227	15422356.9302302	15124958.1532788	0.388775222344256	0.393807450002832	0.378384309903014	0.371087692953229	0.636059329655029	0.649640860820002	0.147106444214122	0.146137098089345	0.611224777655744	0.606192549997168
"22"	1971	329157	16170314.8646235	15859055.0943233	43022593.0857188	9826746.19602715	9553392.14280124	13161394.81409	6343568.66859635	6305662.95152206	16170314.8646235	15859055.0943233	0.392297164384502	0.397606472391861	0.375856351392059	0.368621553394643	0.645541112190421	0.66004439651036	0.147447380867009	0.146566315492852	0.607702835615499	0.602393527608139
"23"	1972	329324	17104619.8946726	16772876.132177	45461259.4067393	10405524.4504427	10105534.7157796	13845271.6507635	6699095.44422989	6667341.41639739	17104619.8946726	16772876.132177	0.391654154578225	0.397507342441217	0.376246063524957	0.368948778609739	0.643801807024236	0.65977126435343	0.147358333923252	0.14665984848209	0.608345845421775	0.602492657558783
"24"	1973	329491	18302573.6389921	17952743.8832712	48101865.8395877	11150639.963576	10844877.5810009	14548067.4332946	7151933.67541606	7107866.3022703	18302573.6389921	17952743.8832712	0.390761092755801	0.395920888109676	0.380496126699708	0.37322344091892	0.641392215942592	0.655412313249394	0.148683082258527	0.147766956191968	0.609238907244199	0.604079111890323
"25"	1974	329658	18670556.1848531	18436544.7647636	50609646.9160852	11266062.6471134	11066502.8899277	14907217.3131837	7404493.53773968	7370041.87483593	18670556.1848531	18436544.7647636	0.396586661073693	0.399751795625054	0.368912990359533	0.364289140276612	0.657238803801331	0.665977495161898	0.146305971073398	0.145625237952283	0.603413338926307	0.600248204374946
"26"	1975	329825	18920221.6849818	18747341.8037066	53033333.6458001	11358980.6840614	11176537.3604449	15459855.4039489	7561241.00092044	7570804.44326172	18920221.6849818	18747341.8037066	0.399638076488411	0.403833488637033	0.356760934761267	0.35350110043839	0.665661929642172	0.677383719044838	0.1425752537342	0.142755582627065	0.600361923511589	0.596166511362967
"27"	1976	329992	19959257.9986801	19731957.2400439	55638108.4533657	11959713.7373649	11747848.7398221	16149583.1607369	7999544.26131519	7984108.50022182	19959257.9986801	19731957.2400439	0.400793669877117	0.404628309452188	0.35873358303346	0.354648240002312	0.668874225335576	0.679623025206123	0.143778149252148	0.143500717802329	0.599206330122883	0.595371690547812
"28"	1977	330159	20746166.6536038	20474937.9787637	58406558.2610574	12442607.336206	12217447.323475	16815372.4344036	8303559.31739783	8257490.65528869	20746166.6536038	20474937.9787637	0.400245474551581	0.403297468537059	0.355202690781325	0.35055888565198	0.667348819506328	0.675876919020758	0.14216826953377	0.141379511156616	0.599754525448419	0.596702531462941
"29"	1978	330326	21815169.4425268	21505392.7048189	61342192.7719948	13120001.8599242	12869831.7254924	17537661.2970477	8695167.58260263	8635560.97932649	21815169.4425268	21505392.7048189	0.398583545523701	0.401553280047355	0.355630740551001	0.350580762327052	0.662741337648933	0.670992532266081	0.141748561466038	0.14077685503393	0.601416454476299	0.598446719952645
"30"	1979	330493	22734356.3502257	22402681.0197706	64335283.4166175	13592139.6484647	13346944.7236718	18188191.1456799	9142216.70176098	9055736.29609884	22734356.3502257	22402681.0197706	0.402132198551124	0.404225560686556	0.353373065958291	0.348217647145456	0.67261056303182	0.678487585255211	0.142102687922559	0.140758473658325	0.597867801448876	0.595774439313444
